position,time_to_complete
r2qr1k1/pp1n1pbp/2p2np1/3p4/3BP3/P2B1Q1P/1PPN1PP1/R4RK1 b - - 0 14,300.0
r2q2k1/pp3pbp/2p2np1/3pr3/4P3/P1PB1Q1P/1P1N1PP1/R4RK1 b - - 0 16,30.25575613975525
r2q2k1/pp3pbp/2p2np1/4r3/2NpP3/P1PB1Q1P/1P3PP1/R4RK1 b - - 1 17,300.0
r3r1k1/pp3pbp/2p3p1/4P2n/2Nq4/P2B1Q1P/1P3PP1/R3R1K1 b - - 1 20,300.0
3r2k1/pp3p1p/6p1/3R4/8/P4Q1P/1q3PP1/6K1 b - - 0 28,300.0
4rrk1/1p3ppp/p1npq3/5p2/2QP4/2P1PN2/PP1n1PPP/R4RK1 w - - 0 16,300.0
r4rk1/pp2pp1p/2pp2p1/7n/4P2P/3Bb3/PPPn1qQ1/K2N2RR b - - 5 19,300.0
r4rk1/pp2pp1p/2pp2p1/8/4P2P/3Bb3/PPPn1NR1/K6R b - - 0 21,300.0
1r3rk1/1pBbqpbp/p3p1p1/P2pP3/B4P2/8/1PP3PP/R1Q2RK1 b - - 6 19,300.0
rn1q1rk1/pp3pbp/3p1np1/2p5/1P1pP3/5BPP/P1PBNP2/R2Q1RK1 b - - 0 12,300.0
r2qr1k1/pp3pbp/1n2p1p1/3p4/3PnB2/1Q1BPN1P/PP3PP1/2R2RK1 w - - 0 17,300.0
r2qr1k1/pp3p1p/1n2p1p1/3pb3/3Pn3/1Q1BPN1P/PP3PP1/2R2RK1 w - - 0 18,300.0
4r3/6kp/6p1/p1P1Np2/3p1P2/1P1K3P/P5P1/8 w - - 0 37,300.0
rnb1kb1r/ppp1pppp/8/4n3/8/2N1B3/PPP2PPP/R2K1BNR b kq - 1 7,300.0
rn1q1rk1/pp3pbp/2pp1np1/3Pp3/4P3/1PN2Q2/PBP2PPP/2KR1B1R b - - 1 10,300.0
r5r1/pp1n3k/2pp1p1b/3PpPnP/4P3/1PN5/P1P1B1R1/1KB3R1 b - - 4 26,300.0
rn3rk1/pp1nqpbp/2pp2p1/3Pp3/4P1PP/1PN2Q2/PBP2P2/2KR1B1R b - - 0 12,300.0
r3kbnr/p2qpppp/1p6/3p4/3P1Bb1/1Q6/PP2PPPP/RN2KB1R w KQkq - 0 9,300.0
rnb2rk1/pp3p1p/2p3p1/4n3/8/2N2N2/PPP3PP/2KR1B1R b - - 1 15,300.0
r5k1/7p/5Rp1/p7/6R1/1P6/PKP1r1PP/8 b - - 2 36,300.0
rn1q1rk1/ppp2pbp/3p2p1/4p2n/2BPP2P/2NQBP2/PPP2P2/2KR3R b - - 1 10,76.92060017585754
rn1q1rk1/pp3p1p/2pp2pB/4b2n/2B1P2P/2NQ1P2/PPP2P2/2KR3R b - - 1 12,300.0
r4r2/pp3pk1/2nR2p1/2pB3p/4Pn1P/2N2P2/PPP2P1R/2K5 b - - 3 19,300.0
rnbq1rk1/ppp1ppbp/5np1/4P1B1/8/2N2N2/PPP2PPP/R2QKB1R b KQ - 0 7,300.0
1k1n1r2/1bp1r3/pp2pN1R/3p4/3P2p1/P2BP3/1PP2PP1/2K4R w - - 0 30,300.0
7k/p1Rnr2P/p3p1p1/8/3b4/5P2/P1P2P2/3K3R b - - 2 25,300.0
rnb2rk1/pppnppbp/6p1/3NP3/8/5N1P/PPP2PP1/R1BK1B1R b - - 2 9,300.0
r3r2k/pbpnNpbp/p3P1p1/8/5B1P/5N2/PPP2PP1/R2K3R b - - 0 14,300.0
4r2k/pr1n3P/p3p1p1/B7/8/5P2/PbP2P2/1R1K3R b - - 2 22,300.0
rnb2rk1/ppp1ppbp/5np1/4P3/8/2N2N1P/PPP2PP1/R1BK1B1R b - - 0 8,300.0
r2qrk2/1p6/3pppn1/1p1pP1p1/3P4/2P2NP1/PP1Q2PP/R3R1K1 w - - 0 22,10.261528968811035
1r1qrk2/1Q6/4p1n1/3ppp2/3P2p1/2P3P1/PP1N2PP/R3R1K1 w - - 1 26,300.0
1r3k2/4r2Q/4pqn1/3ppp2/3P2p1/2P3P1/PP1N2PP/1R2R1K1 w - - 5 28,300.0
rn1q1rk1/p4pbp/2pp1np1/4p3/B3PP2/2N2Q2/PPP3PP/R1B2RK1 b - - 3 11,300.0
rn1q1rk1/p2n1pbp/2pp2p1/4p3/B3PP2/2N1BQ2/PPP3PP/R4RK1 b - - 5 12,300.0
r4rkb/p1qn1p1p/2pp1Pp1/4p3/B3P3/P1NQ4/1PP3PP/3R1RK1 b - - 4 18,300.0
2r2rk1/p3ppbp/6p1/2npN3/1q2n3/1P1BBQ1P/P1P2PP1/R3R1K1 w - - 2 18,300.0
