position,time_to_complete
5k2/p6B/1bp3pp/8/4K1P1/5P1P/P7/8 b - - 2 40,40.55976581573486
8/R5pp/2p2pk1/3p4/P7/7P/1P3qP1/4rRK1 w - - 0 33,40.76147389411926
8/PkN5/1p6/8/7p/3KPp2/5P1p/8 w - - 2 56,41.76661515235901
r1bqr1k1/pp3pp1/2np1n1p/3p4/2PpP3/3B1N1P/PP1N1PP1/R2QR1K1 w - - 0 13,47.23852896690369
r4r2/p2n2k1/2p1q1p1/1p2P1PR/4Q3/2PB4/1P4P1/2KR4 b - - 0 27,47.321815967559814
r3r1k1/pppb1ppp/2nq1n2/1B1pp3/3P4/2P1PN2/PP1N1PPP/R2Q1RK1 w - - 2 11,49.64676284790039
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,50.58249306678772
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,50.58249306678772
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,50.58249306678772
1q2r1k1/p4ppp/8/8/Q2p4/7P/PP1R1PP1/6K1 w - - 6 24,50.58249306678772
2kr3r/1ppbp1bp/p1nq2p1/5p2/2BP1P2/5N2/PP1Q1PPP/RN2R1K1 w - - 0 15,51.39035987854004
2r1r3/1p3pk1/p1nR2p1/2pB3p/N3Pn1P/P4P2/1PPK1P1R/8 b - - 3 22,52.98052978515625
8/p4kp1/1p2p3/3pP2P/3P2K1/8/PP6/8 w - - 1 32,57.303685903549194
8/5p2/3k4/5Kp1/6P1/p7/2r2P2/5R2 w - - 4 58,62.35479927062988
1r1qkb1r/pQ1b1ppp/4pn2/2pp4/3P1B2/2P1PN2/PP3PPP/RN2K2R w KQk - 1 10,70.32785272598267
5rk1/1p3ppp/p1b1p3/2P5/1P6/5PP1/P2R3P/2R3K1 w - - 1 27,80.34378337860107
r1b1kb1r/pp3ppp/n1pNp3/8/2B5/4BN2/PPP2PPP/R2K3R b kq - 1 11,86.97307205200195
6k1/2q1ppnp/1p4p1/pP2P3/2P5/4PN1P/5PP1/3Q2K1 w - - 1 28,87.67897510528564
8/8/2N5/pp1p1k2/3P4/2P4K/P1n5/8 w - - 2 45,94.68576693534852
r3k2r/2R5/p4p1p/np1bp1p1/3N4/4P2P/P4PPB/3R2K1 w - - 0 29,99.27867293357848
rn1q1rk1/p2n1pbp/2pp2p1/4p3/B3PP2/2N1BQ2/PPP3PP/R4RK1 b - - 5 12,104.6095449924469
5rk1/1p3pp1/p1b1p2p/2P5/1P6/5PP1/P2R3P/3R2K1 w - - 0 28,109.73564386367798
3r1rk1/4Rpbp/2q3p1/1Q1Rnp2/p7/P4PPP/BPP5/1K6 b - - 0 24,110.66146993637084
rn3rk1/ppp3pp/3bp1p1/3pN1q1/3P4/2P1P1P1/PP4PP/RN1Q1RK1 w - - 1 12,114.94204092025755
5rk1/q2nR2p/1r1p2p1/pPpP1p2/P1Bb1P2/4R3/5BPP/3Q2K1 b - - 5 32,118.92097806930542
r4rk1/pp2pp1p/1np3p1/4n3/2P5/1PN5/P2RBPPP/R5K1 b - - 0 16,123.28431010246275
rn3rk1/p1q2p1p/1ppp2p1/3P1bB1/8/2bB1N2/P1P2PPP/1R1Q1RK1 b - - 3 14,147.64249324798584
r4rkb/p1q2p1p/2pp1Pp1/2n1p3/B3P3/P1N2Q2/1PP3PP/3R1RK1 b - - 2 17,149.39238286018372
3rk2r/2R5/p3bp1p/np2pNp1/8/4P2P/P4PPB/2R3K1 w - - 4 31,149.88060903549194
r1b1k1nr/ppp4p/2nq1p2/3p2p1/3p4/2PBPN1P/PP3PP1/RN1QK2R w KQkq - 0 10,160.46853828430176
rnbqkb1r/ppp1pppp/3p1n2/6B1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq - 2 3,173.8529760837555
r4r2/pp3pk1/2nR2p1/2pB3p/4Pn1P/2N2P2/PPP2P1R/2K5 b - - 3 19,174.48547983169556
4r1k1/1p1n1p1p/6p1/pB1p4/P5P1/1P2R2P/4Q1K1/1q6 b - - 0 33,193.81805992126465
4r1k1/pp2q1bp/6p1/3pp3/3N1r2/4R3/PPP2PPP/3Q1RK1 b - - 3 21,215.7206027507782
rnbqk2r/ppp1ppbp/3p1np1/8/4P3/1PN2N2/PBPP1PPP/R2QKB1R b KQkq - 2 5,221.68215799331665
5rk1/pB2p1bp/4p1p1/4n3/1P6/4N3/P1Pr1PPP/R4RK1 b - - 0 17,222.1749188899994
1kr5/1bp1r3/p3pN1R/1p6/3P1P2/P7/1PP4R/1K6 w - - 8 40,227.44581985473633
8/5p2/3k3K/1r6/5PP1/8/p7/5R2 w - - 1 61,300.0
2r1kb1r/3q3p/1pnnp1p1/1B1ppN2/PP6/2P1PP2/6PP/RN1QK2R w KQk - 1 16,300.0
4rkQ1/8/1q1P4/1bp1p3/p6P/P4P2/1P6/1K1R2R1 b - - 2 35,300.0
rnbqr1k1/ppp2p2/4p1pB/8/2B1N3/8/PbP2PPP/1R1Q1RK1 b - - 1 14,300.0
3r1rk1/2qnRpbp/2p3p1/1p1N1p2/p7/P4QPP/BPP2P2/1K1R4 b - - 7 20,300.0
4r3/p4B2/2p3R1/1pk2p1p/3pp2P/8/PPPK4/8 b - - 1 41,300.0
2r2rk1/pp2p1bp/1qn3p1/5p2/2pPBB2/2P2Q1P/PP3PP1/1R3RK1 w - - 0 16,300.0
4r3/6kp/6p1/p1P1Np2/3p1P2/1P1K3P/P5P1/8 w - - 0 37,300.0
rnbqkb1r/ppp1pppp/3p1n2/8/2B1P1P1/8/PPPP1P1P/RNBQK1NR b KQkq - 0 3,300.0
r2q2k1/pp3pbp/2p2np1/3pr3/4P3/P1PB1Q1P/1P1N1PP1/R4RK1 b - - 0 16,300.0
rn1qk2r/ppp1ppbp/5np1/4P3/2B3b1/2N2N2/PPP2PPP/R1BQK2R b KQkq - 0 7,300.0
rnbqkb1r/pppppppp/5n2/8/8/2N2P2/PPPPP1PP/R1BQKBNR b KQkq - 0 2,300.0
r5k1/1q5p/1P1p2p1/PQpP1p2/2B1nP2/8/6PP/4B1K1 b - - 0 43,300.0
rn1q1r2/5p1k/3Pp1p1/p2p3p/1p1P3P/6N1/PPP1QPP1/2KR3R b - - 0 18,300.0
4rrk1/1p2qppp/p1np4/1Q1p1p2/3Pn3/2P1PN2/PP1N1PPP/R4RK1 w - - 0 14,300.0
r2qkb1r/p4ppp/1pn1p3/2Pp1b2/1P2nB2/2PBPN2/P4PPP/RN1QK2R w KQkq - 0 9,300.0
r2qr1k1/pp1n1pbp/2p2np1/3pp3/3PP3/P2BBQ1P/1PPN1PP1/R4RK1 b - - 1 13,300.0
4k2r/1p3ppp/p1b1p3/2P5/1P6/4qPP1/P1Qr1R1P/2R3K1 w k - 4 25,300.0
rnbq1rk1/N4pb1/2pp2pp/4p3/8/4BB2/P1P2PPP/1R1Q1RK1 b - - 0 17,300.0
1r2rk2/7Q/4pqn1/3ppp2/3P2p1/2P3P1/PP1N2PP/R3R1K1 w - - 3 27,300.0
1r3rk1/pp4pp/2p5/3pN1q1/1Q1Pp3/4P1P1/PP3P1P/5RK1 w - - 1 21,300.0
rnbqkb1r/ppp1pp1p/3p1np1/6B1/3PP3/5N2/PPP2PPP/RN1QKB1R b KQkq - 1 4,300.0
 5r2/2R2p2/4p1kp/p3P3/P1p1PpPP/2P5/5K2/8 w - - 2 34,300.0
Q7/8/1Q6/8/8/k3BK2/8/8 b - - 8 68,300.0
3rr3/pp5k/2p3p1/4pp1p/2Bp3P/8/PPPK2R1/5R2 b - - 1 33,300.0
b2r2k1/p5p1/Pp2rp1p/1Pp1N3/3Pp3/2P1P3/1R3PPP/3R2K1 w - - 0 27,300.0
r3kbnr/ppp1q1pp/2n2p2/3p4/3P4/5Q1P/PPP2PPB/RN2KB1R w KQkq - 1 9,300.0
b2r2k1/p4pp1/Pp2r2p/1Pp1N3/3Pp3/1RP1P3/5PPP/3R2K1 w - - 0 26,300.0
r2qr1k1/pp3pbp/2p3p1/4P2n/2NP4/P2B1Q1P/1P3PP1/R4RK1 b - - 0 19,300.0
2kr2nr/ppp5/3qb3/nP1p4/3P1p2/2PB1QP1/P2N4/RN3RK1 w - - 1 19,300.0
r2qk2r/ppp1ppbp/2n3p1/3p4/3PnB2/2PBPQ1P/PP3PP1/RN2K2R w KQkq - 1 9,300.0
rn1q1rk1/1p2ppbp/2pp1np1/p7/B3PBb1/2NP1N1P/PPP2PP1/R2Q1RK1 b - - 0 9,300.0
rn3rk1/ppp2p2/3p1bpp/4p3/3PP3/2PB3P/PP3PP1/RN3RK1 b - - 1 12,300.0
1r1Q3k/p5bp/6p1/4p3/4P3/P1q5/2P3PP/3R1R1K b - - 4 26,300.0
R7/7k/5Q2/8/3P4/6K1/8/8 b - - 1 62,300.0
4r1k1/1pp2p2/p5pp/3rb3/8/P1P2P1P/1P2B1P1/R4RK1 b - - 0 20,300.0
rnbq1rk1/ppp1ppbp/3p1np1/4P3/3P4/2N2N1P/PPP2PP1/R1BQKB1R b KQ - 0 6,300.0
rnbQr1k1/ppp2pb1/4p1pB/8/2B1N3/8/P1P2PPP/1R3RK1 b - - 0 15,300.0
r3k2r/pp3pp1/2nppq1p/3p4/3Pn3/2PQPN1P/PP1N1PP1/R4RK1 w kq - 0 12,300.0
4r3/p4B2/1kp5/1p4Rp/3p1p1P/2P1p3/PP2K3/8 b - - 2 46,300.0
8/1p2r2Q/1q2pkp1/3r1p2/p1pP4/P1P4P/1P2RPP1/4R1K1 w - - 9 32,300.0
1r3rk1/6bp/2B1p1p1/R1p2p2/8/2B1NP2/P4P1P/4K2R b K - 0 21,300.0
rnbqkbnr/6p1/p3p2p/1p1p1p2/2pP1B2/1PP1PN1P/P2N1PP1/R2QKB1R w KQkq - 0 9,300.0
rn3rk1/pp1nppbp/2p3p1/4P3/2P2B2/2N2B2/PP3PPP/R2R2K1 b - - 2 12,300.0
4rrk1/1q5p/1P1p2p1/Q1pP1p2/P1B2P1B/2n5/6PP/4R1K1 b - - 0 40,300.0
1k3r2/2p1r3/p3pN1R/1p5R/3P1P2/P4b2/1PP5/2K5 w - - 2 37,300.0
r1b4R/2p2p1k/2p2Bp1/p3p3/8/8/P1P2PPP/6K1 b - - 3 25,300.0
8/p4kp1/1p2p3/3pP2p/3P1K1P/8/PP4P1/8 w - - 1 29,300.0
2r1kb1r/pp2pppp/1q6/2ppB3/3P2n1/2P1P3/PPQN1PPP/R3K2R w KQk - 1 12,300.0
rnbqkb1r/ppp1pppp/3p1n2/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,300.0
r2qr1k1/1p1b1ppp/p2pp3/3pP2n/3P1n2/2PB1N2/PPQN1PPP/R3R1K1 w - - 3 15,300.0
r1b2r2/1pqnppk1/3p2p1/2p4p/p1PPP1nP/P1NB4/1P1QNPP1/1K3R1R b - - 3 15,300.0
rnbqr2k/ppp3bp/5pp1/7n/2B1p2B/2P1PN2/PP3PPP/RN1QR1K1 w - - 2 13,300.0
8/1p6/rP4p1/7p/p1kPpKPP/R3P3/8/8 w - - 2 41,300.0
1r3rk1/1pBbqpbp/p3p1p1/P2pP3/B4P2/8/1PP3PP/R1Q2RK1 b - - 6 19,300.0
rnbqkb1r/ppp1pp1p/3p1np1/8/4P3/2N2P1N/PPPP2PP/R1BQKB1R b KQkq - 1 4,300.0
rn3rk1/pp2ppbp/1qpp1np1/8/3PPBb1/2NB1N1P/PPPQ1PP1/2KR3R b - - 0 9,300.0
rn3rk1/5pbp/2p2pp1/pp2q3/8/PBN2Q1P/1PP2PP1/1K1R3R b - - 1 15,300.0
3r1rk1/4ppnp/1p4p1/pPq1P3/2P5/1Q2PN1P/5PP1/2RR2K1 w - - 4 25,300.0
3rr3/pp4k1/2p3p1/4pp1p/2Bp3P/8/PPPK2R1/6R1 b - - 3 34,300.0
5r2/p7/2p1B3/1pk3Rp/3p1p1P/4p3/PPP1K3/8 b - - 1 44,300.0
rn1q1r2/p3ppk1/2pp1np1/1p5p/3PP1bP/2N2N2/PPPQBPP1/2KR3R b - - 3 11,300.0
6k1/2q2pnp/1p2p1p1/pP1QP3/2P5/4PN1P/5PP1/6K1 w - - 0 29,300.0
r4r1k/pbpnNpbp/p5p1/4P3/5B1P/5N2/PPP2PP1/R2K3R b - - 0 13,300.0
1r3k2/4r3/4p1n1/3ppp2/3P2pq/2P3P1/PP1N2PP/1R2R1K1 w - - 0 29,300.0
1r3k2/4r2Q/4pqn1/3ppp2/3P2p1/2P3P1/PP1N2PP/1R2R1K1 w - - 5 28,300.0
4r1k1/1p1n1pp1/1q1p3p/1p1PP3/8/1P1Q1N1P/P4PP1/4R1K1 w - - 3 24,300.0
8/p4B2/1kp5/1p2R2p/3r1p1P/4p3/PP2K3/8 b - - 1 49,300.0
8/5pk1/3b2pp/1B1r4/5P2/7P/6P1/5RK1 b - - 2 33,300.0
2k4r/1pp5/p4q1n/4rppp/2QPp3/2P4P/PP3PP1/3RR1K1 w - - 0 27,300.0
rn3r2/5p1k/3qp1p1/p2p1N1p/1p1P3P/8/PPP1QPP1/2KR3R b - - 1 19,300.0
r1b1k3/ppp5/3pp3/5p2/1n1P2pq/2NQPP2/PPP1B2r/2KR2R1 w q - 1 18,300.0
3rr1k1/1pp2p2/p5pp/3Pb3/8/2P2P1P/PP2B1P1/R4RK1 b - - 0 19,300.0
r2qr1k1/pbp2pbp/1p3np1/8/8/2PBPN1P/PP3PP1/RN1Q1RK1 w - - 3 13,300.0
4r3/pp6/2p3R1/2k1pp1p/2Bp3P/3K4/PPP5/8 b - - 3 39,300.0
rn4k1/pp3pQp/4r3/3p2R1/4p1P1/BP1pP2P/P1P3BK/8 b - - 0 22,300.0
